Service_Provider,Deal,Services_Offered,Price,Details
VANTTY SALON & SPA,DEAL 3,DEAL 3 Keratin Treatment for Mid-back Length Whitening Manicure and Pedicure Deep Cleansing,"Rs. 9,500/-","DEAL 3 Keratin Treatment for Mid-back Length Whitening Manicure and Pedicure Deep Cleansing Rs. 9,500/-"
AIMS BEAUTY SALON,DEAL 2,DEAL 2 SKIN DEAL Mineral Glow Facial Whitening Bleach Whitening Polish (Cleansing + Scrub + Mask) Eyebrow / Upper Lips Hand Bleach / Feet Bleach,"Rs. 2,200/-","DEAL 2 SKIN DEAL Mineral Glow Facial Whitening Bleach Whitening Polish (Cleansing + Scrub + Mask) Eyebrow / Upper Lips Hand Bleach / Feet Bleach Rs. 2,200/-"
INSIMVA SYALOWN,Unknown Deal,DEALT KERATIN Hair Cut Keratin Wash Whitening Cleansing Eyebrows Upper Lips Thread,"Rs. 4,999/-","DEALT KERATIN Hair Cut Keratin Wash Whitening Cleansing Eyebrows Upper Lips Thread Rs. 4,999/- BUY 1 GET S SERVICES FREE"
THE HOUSE OF BEAUTY,DEAL 45,DEAL 45 BIRTH WEEK! CRAZY DEAL Basic Pedicure Basic Manicure Free Half Arms Wax Free Half Legs Wax,"Rs. 1,250/-","DEAL 45 BIRTH WEEK! CRAZY DEAL Basic Pedicure Basic Manicure Free Half Arms Wax Free Half Legs Wax Rs. 1,250/-  --- Text from 5555.jpg -- i want a haicut"
INSIMVA SVAILOWN,DEAL 44,DEAL 44 WHITENING GLOWING FACIAL Face Polish Lifting Serum Half Hand Wax (honey wax) Eyebrows Thread Upper Lips wax,"Rs. 1,499/-","DEAL 44 WHITENING GLOWING FACIAL Face Polish Lifting Serum Half Hand Wax (honey wax) Eyebrows Thread Upper Lips wax Rs. 1,499/-  BUY 1 GETS SERVICES FREE"
--- Text from 6868.jpg --,DEAL 20,"STUDIO FINK SALON & SPA DEAL 20 Full Body Aroma Therapy Massage (30 Mins) Whitening Manicure (with Hand Polish) Whitening Pedicure (with Feet Polish) Whitening Facial (With Face Polish) or Argan Oil Protein Treatment (Any One of These) price 9,000",Price not specified,"STUDIO FINK SALON & SPA DEAL 20 Full Body Aroma Therapy Massage (30 Mins) Whitening Manicure (with Hand Polish) Whitening Pedicure (with Feet Polish) Whitening Facial (With Face Polish) or Argan Oil Protein Treatment (Any One of These) price 9,000"
SHAHANA’S BEAUTY SALON,DEAL 25,"DEAL 25 Hair Color Hair Streaks Hair Glossing l2, 000 -20,000",Price not specified,"DEAL 25 Hair Color Hair Streaks Hair Glossing l2, 000 -20,000"
SHAHANA'S BEAUTY SALON,Unknown Deal,"DEAL19 Manicure Pedicure Hair Protein Hair Wash Finger Dry pKr 2,500",Price not specified,"DEAL19 Manicure Pedicure Hair Protein Hair Wash Finger Dry pKr 2,500"
NIMS BEAUTY SALON,DEAL 43,DEAL 43 MAKEUP DEAL Glamour Party Makeup by Senior Makeup Artist Makeover Lashes Nail Color Hairdo Blow dry Tongs / Iron,"Rs. 3,500/-","DEAL 43 MAKEUP DEAL Glamour Party Makeup by Senior Makeup Artist Makeover Lashes Nail Color Hairdo Blow dry Tongs / Iron Rs. 3,500/-"
NIMS BEAUTY SALON,DEAL 42,DEAL 42 HAIR DEAL Keratin Treatment 2nd Day Wash (Waist Length),"Rs. 11,000/-, Rs.7,000/-","DEAL 42 HAIR DEAL Keratin Treatment 2nd Day Wash (Waist Length) Rs. 11,000/- (Shoulder Length) (Mid Length) Rs.7,000/- Rs. 8,000/"
THE HOUSE OF BEAUTY,DEAL 40,DEAL 40 BIRTH WEEK! CRAZY DEAL Basic Pedicure (30 Mins) Free Half Legs Wax,Rs. 750/-,DEAL 40 BIRTH WEEK! CRAZY DEAL Basic Pedicure (30 Mins) Free Half Legs Wax Rs. 750/-
